Interval,Num,PER
"(950, 1000]",35,0.78%
"(9500, 9550]",0,0.00%
"(9550, 9600]",0,0.00%
"(9600, 9650]",1,0.02%
"(9650, 9700]",3,0.07%
"(9700, 9750]",2,0.04%
"(9750, 9800]",1,0.02%
"(9800, 9850]",1,0.02%
"(9850, 9900]",3,0.07%
"(9900, 9950]",2,0.04%
,4507,
